time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
8.460390416666666,0.25586299999999973,69,70,2 Flauti,3960,120,Flute _ 1
8.460390416666666,0.25586299999999973,66,70,2 Flauti,3960,120,Flute _ 1
8.716253416666666,0.25586299999999973,74,80,2 Flauti,4080,120,Flute _ 1
8.716253416666666,0.25586299999999973,69,80,2 Flauti,4080,120,Flute _ 1
8.972116416666665,0.25586299999999973,78,80,2 Flauti,4200,120,Flute _ 1
8.972116416666665,0.25586299999999973,74,80,2 Flauti,4200,120,Flute _ 1
9.227979416666665,0.5128660833333356,81,103,2 Flauti,4320,240,Flute _ 1
9.227979416666665,0.5128660833333356,78,103,2 Flauti,4320,240,Flute _ 1
10.516538500000001,0.26181991666666704,74,53,2 Flauti,4920,120,Flute _ 1
10.516538500000001,0.26181991666666704,69,53,2 Flauti,4920,120,Flute _ 1
10.778358416666668,0.26427191666666516,74,63,2 Flauti,5040,120,Flute _ 1
10.778358416666668,0.26427191666666516,78,63,2 Flauti,5040,120,Flute _ 1
11.042630333333333,0.30698175000000205,78,82,2 Flauti,5160,120,Flute _ 1
11.042630333333333,0.30698175000000205,81,82,2 Flauti,5160,120,Flute _ 1
11.349612083333335,0.9761362499999997,86,107,2 Flauti,5280,450,Flute _ 1
11.349612083333335,0.9761362499999997,78,107,2 Flauti,5280,450,Flute _ 1
12.390824083333335,0.7809090000000012,85,108,2 Flauti,5760,360,Flute _ 1
12.390824083333335,0.7809090000000012,76,108,2 Flauti,5760,360,Flute _ 1
13.171733083333336,0.2603029999999986,79,99,2 Flauti,6120,120,Flute _ 1
13.171733083333336,0.2603029999999986,83,99,2 Flauti,6120,120,Flute _ 1
13.432036083333335,0.2212575500000007,78,92,2 Flauti,6240,102,Flute _ 1
13.432036083333335,0.2212575500000007,81,92,2 Flauti,6240,102,Flute _ 1
13.692339083333335,0.2650583750000024,86,110,2 Flauti,6360,120,Flute _ 1
13.692339083333335,0.2650583750000024,78,110,2 Flauti,6360,120,Flute _ 1
13.957397458333338,0.2575562500000004,85,105,2 Flauti,6480,120,Flute _ 1
13.957397458333338,0.2575562500000004,76,105,2 Flauti,6480,120,Flute _ 1
14.214953708333338,0.2575099999999999,79,98,2 Flauti,6600,120,Flute _ 1
14.214953708333338,0.2575099999999999,83,98,2 Flauti,6600,120,Flute _ 1
14.472463708333338,0.21888350000000045,78,92,2 Flauti,6720,102,Flute _ 1
14.472463708333338,0.21888350000000045,81,92,2 Flauti,6720,102,Flute _ 1
14.729973708333338,0.2640850833333328,78,107,2 Flauti,6840,120,Flute _ 1
14.729973708333338,0.2640850833333328,86,107,2 Flauti,6840,120,Flute _ 1
14.99405879166667,0.25835145833333506,76,102,2 Flauti,6960,120,Flute _ 1
14.99405879166667,0.25835145833333506,85,102,2 Flauti,6960,120,Flute _ 1
15.252410250000006,0.2564099999999989,83,94,2 Flauti,7080,120,Flute _ 1
15.252410250000006,0.2564099999999989,79,94,2 Flauti,7080,120,Flute _ 1
